"theta1","theta2","Loss"
-0.99,-0.24,7325.17205738985
-0.99,-0.23,7323.73362888879
-0.99,-0.22,7322.35586489695
-0.99,-0.21,7321.03879745483
-0.99,-0.2,7319.78245721769
-0.99,-0.19,7318.58687345207
-0.99,-0.18,7317.45207403247
-0.99,-0.17,7316.37808543814
-0.99,-0.16,7315.36493275007
-0.99,-0.15,7314.41263964816
-0.99,-0.14,7313.52122840847
-0.99,-0.13,7312.69071990071
-0.99,-0.12,7311.9211335858
-0.99,-0.11,7311.2124875137
-0.99,-0.1,7310.56479832132
-0.99,-0.09,7309.97808123058
-0.99,-0.08,7309.45235004673
-0.99,-0.07,7308.98761715668
-0.99,-0.0599999999999999,7308.58389352766
-0.99,-0.0499999999999999,7308.24118870592
-0.99,-0.04,7307.9595108156
-0.99,-0.03,7307.73886655788
-0.99,-0.02,7307.57926121012
-0.99,-0.01,7307.48069862533
-0.99,0,7307.44318123166
-0.99,0.01,7307.46671003216
-0.99,0.02,7307.55128460467
-0.99,0.03,7307.69690310183
-0.99,0.04,7307.90356225134
-0.99,0.05,7308.17125735629
-0.99,0.0600000000000001,7308.49998229573
-0.99,0.0700000000000001,7308.88972952539
-0.99,0.0800000000000001,7309.34049007848
-0.99,0.0900000000000001,7309.85225356679
-0.99,0.1,7310.42500818187
-0.99,0.11,7311.05874069634
-0.99,0.12,7311.75343646546
-0.99,0.13,7312.50907942879
-0.99,0.14,7313.32565211203
-0.99,0.15,7314.20313562903
-0.99,0.16,7315.14150968393
-0.99,0.17,7316.14075257352
-0.99,0.18,7317.20084118969
-0.99,0.19,7318.32175102207
-0.99,0.2,7319.50345616085
-0.99,0.21,7320.74592929971
-0.99,0.22,7322.04914173895
-0.99,0.23,7323.41306338874
-0.99,0.24,7324.83766277254
-0.99,0.25,7326.32290703069
-0.99,0.26,7327.86876192412
-0.99,0.27,7329.47519183824
-0.99,0.28,7331.14215978694
-0.99,0.29,7332.86962741682
-0.99,0.3,7334.65755501145
-0.99,0.31,7336.5059014959
-0.99,0.32,7338.41462444132
-0.99,0.33,7340.38368006974
-0.99,0.34,7342.41302325893
-0.99,0.35,7344.5026075475
-0.99,0.36,7346.65238514006
-0.99,0.37,7348.86230691253
-0.99,0.38,7351.13232241768
-0.99,0.39,7353.46237989066
-0.99,0.4,7355.85242625477
-0.99,0.41,7358.30240712735
-0.99,0.42,7360.81226682575
-0.99,0.43,7363.3819483735
-0.99,0.44,7366.01139350657
-0.99,0.45,7368.70054267975
-0.99,0.46,7371.44933507316
-0.99,0.47,7374.25770859895
-0.99,0.48,7377.125599908
-0.99,0.49,7380.05294439685
-0.99,0.5,7383.0396762147
-0.99,0.51,7386.08572827051
-0.99,0.52,7389.19103224027
-0.99,0.53,7392.35551857436
-0.99,0.54,7395.57911650498
-0.99,0.55,7398.86175405376
-0.99,0.56,7402.20335803943
-0.99,0.57,7405.60385408562
-0.99,0.58,7409.06316662873
-0.99,0.59,7412.581218926
-0.99,0.6,7416.15793306351
-0.99,0.61,7419.79322996446
-0.99,0.62,7423.48702939743
-0.99,0.63,7427.23924998478
-0.99,0.64,7431.04980921114
-0.99,0.65,7434.91862343197
-0.99,0.66,7438.84560788222
-0.99,0.67,7442.83067668513
-0.99,0.68,7446.87374286099
-0.99,0.69,7450.97471833612
-0.99,0.7,7455.13351395186
-0.99,0.71,7459.35003947361
-0.99,0.72,7463.62420360005
-0.99,0.73,7467.9559139723
-0.99,0.74,7472.34507718329
-0.99,0.75,7476.79159878709
-0.99,0.76,7481.29538330837
-0.99,0.77,7485.85633425188
-0.99,0.78,7490.4743541121
-0.99,0.79,7495.14934438278
-0.99,0.8,7499.8812055667
-0.99,0.81,7504.6698371854
-0.99,0.82,7509.51513778901
-0.99,0.83,7514.41700496607
-0.99,0.84,7519.37533535351
-0.99,0.85,7524.39002464657
-0.99,0.86,7529.46096760882
-0.99,0.87,7534.58805808224
-0.99,0.88,7539.77118899731
-0.99,0.89,7545.01025238315
-0.99,0.9,7550.30513937771
-0.99,0.91,7555.655740238
-0.99,0.92,7561.06194435034
-0.99,0.93,7566.52364024067
-0.99,0.94,7572.04071558483
-0.99,0.95,7577.61305721896
-0.99,0.96,7583.24055114985
-0.99,0.97,7588.92308256537
-0.99,0.98,7594.66053584485
-0.99,0.99,7600.45279456962
-0.99,1,7606.29974153339
-0.98,-1,7601.14562179289
-0.98,-0.99,7595.28295362269
-0.98,-0.98,7589.47495947789
-0.98,-0.97,7583.72175708375
-0.98,-0.96,7578.02346338238
-0.98,-0.95,7572.38019452218
-0.98,-0.94,7566.79206584735
-0.98,-0.93,7561.25919188743
